,date,pm25,pm10,o3,no2,so2,co,AQI_calculated
662,2022-06-08,164.86858226082748,169.10405842110134,54.8361903824918,29.5374523267904,6.780441194662045,8.08058205218872,335.0
663,2022-06-09,165.27394256117324,176.8575549508475,52.786204290973124,29.20898052567096,6.808862962307937,7.777045642737042,335.0
664,2022-06-10,170.02811039620266,174.15755601999697,49.05984609644405,28.534680883010246,6.833605547180269,7.66551597055667,338.0
665,2022-06-11,169.63612318334324,172.71321658906268,48.79320016310344,27.300421737367103,6.85514521764947,7.4297831419254,338.0
666,2022-06-12,169.81267627989092,167.31346390834136,48.69052084327866,25.578689543022175,6.744447140719393,7.089985380557277,338.0
667,2022-06-13,170.48417244954314,165.33114453868896,48.34223441938326,24.46818296207126,6.648078869963256,6.800714992390853,339.0
668,2022-06-14,170.80984492402877,154.67342382094344,48.16848292279358,24.14867805493746,6.5641854194454,6.553694806944677,339.0
669,2022-06-15,161.51410057025907,145.91313691692602,49.1822684329163,23.8705328812069,6.361702485682114,6.478322130527849,332.0
670,2022-06-16,152.38608964814824,135.43897659782075,47.86417947922681,23.6283934459254,6.18543085661877,6.548865405410558,325.0
671,2022-06-17,143.66299803229649,125.54399386915438,47.363963608878315,23.288149385772545,6.031977492904586,6.475071840441109,318.0
672,2022-06-18,138.14029682053356,118.6127538617956,46.54015208523598,23.25084860922526,5.898388582396306,6.277738442687012,314.0
673,2022-06-19,136.3098433194758,114.13215228038186,47.37637577602233,22.959477518722426,5.782092682401257,6.2407430841507505,313.0
674,2022-06-20,134.06909380671095,109.58431487687565,49.91664292293461,22.964723131190638,5.810300662775917,6.341499629291896,311.0
675,2022-06-21,129.7883181652426,112.09766441806887,51.4808267141906,22.451491947251217,5.834857135772801,6.164054591697516,308.0
676,2022-06-22,129.16847306642782,113.12061732153717,50.124089581621135,21.616349937560685,5.726785347327996,6.27431673022596,307.0
677,2022-06-23,130.57060814545784,114.39949785920265,49.07243074924922,21.92491209905123,5.632703391624079,6.106644002841094,308.0
678,2022-06-24,132.82683312950584,118.23126622649214,52.169841141987106,22.581879375740318,6.068598048406935,6.4865387108272134,310.0
679,2022-06-25,135.56768768203324,115.48289074860354,51.500608112376796,21.988757666248723,6.059718069546645,6.422774606384779,312.0
680,2022-06-26,135.8825491442726,112.44304374556334,51.176905798314834,20.954617478409848,6.051987598980458,6.49830241347078,312.0
681,2022-06-27,135.76830365380152,111.47954591886607,50.765657129499324,20.183795594865042,6.045257833499298,6.433192336215099,312.0
682,2022-06-28,138.12838649182564,111.02912065704973,49.372048870189396,19.512756171197843,5.909949794385078,6.433192336215099,314.0
683,2022-06-29,138.7590141199854,104.29398026151128,45.181505357660754,19.44638017333196,5.792157305044388,6.810660501831062,314.0
684,2022-06-30,132.70608605051217,97.26565506910087,42.95736915753045,18.741349324694596,5.689612987345898,7.271561066764725,310.0
504,2022-07-01,124.84771737195155,93.21833361661395,41.668393324062805,18.12758432302874,5.6003429739994415,7.660004290169586,304.0
505,2022-07-02,119.68945278431713,88.65934015298275,38.345634256009774,17.075473107115908,5.522628913738302,7.707791545525665,299.0
506,2022-07-03,115.06947320960154,88.31509006716863,42.443274082768326,17.454051467131954,5.5844243322635645,8.165438461265971,284.0
507,2022-07-04,119.07341249127923,87.4976052131587,42.77424081340257,17.52472419736091,5.50877093132565,8.555737171647523,297.0
508,2022-07-05,119.71115647077872,85.75034781759248,41.250071969114565,17.586248382427847,5.442910820603874,8.752975852269204,299.0
509,2022-07-06,120.13689541398695,83.71147416078213,41.21770029351482,18.028156607221923,5.515025701309181,9.05767652509854,300.0
510,2022-07-07,117.4007362036997,81.93653155130858,39.37722699620416,18.024511750271433,5.57780535127143,9.184675993398923,291.0
511,2022-07-08,115.1482207001155,80.00300595285546,36.35105812542298,18.150788154894645,5.5030087738372675,9.562095679138439,284.0
512,2022-07-09,110.72775275958377,77.67252697031596,34.23442285888092,18.26071815002569,5.437894571264758,9.753975286205899,269.0
513,2022-07-10,108.04455683730372,76.42042380111832,33.03903202018901,18.226968332328994,5.51065880252103,10.18541420791647,260.0
514,2022-07-11,107.90933954295976,74.03591031391709,30.833338921068886,18.32703684635978,5.444554308077426,11.352943529297836,260.0
515,2022-07-12,106.49713168295025,72.34841906544142,29.560418735749433,18.28470211078155,5.387007003229626,11.702507028284012,255.0
516,2022-07-13,104.23213784075706,71.78551866645618,28.322827914848883,18.377297019684033,5.336909164598273,11.4782631385066,247.0
517,2022-07-14,100.83640237125057,70.51878878642214,27.245442528802837,18.328456132984808,5.293296462973042,11.415411548396218,236.0
518,2022-07-15,97.62134407249559,68.12154200825378,25.530827453605937,18.803735418666776,5.3847788378447605,11.36092685008193,225.0
519,2022-07-16,94.175226076102,68.12154200825378,25.530827453605937,18.803735418666776,5.3847788378447605,11.36092685008193,219.0
3513,2022-07-17,94.175226076102,68.10381022912254,25.015714584752278,18.832368483542737,5.328643403953455,11.307678606909402,219.0
520,2022-07-18,95.46267347268369,67.65831913921743,24.008746340528123,18.999959089435272,5.2814730882923735,11.408003998750157,220.0
521,2022-07-19,95.8268569364449,64.45131938748543,21.45983506920983,19.141502287419097,5.383171524697765,11.492484823617236,221.0
522,2022-07-20,92.45446537420072,64.24835680950606,22.374457133939,19.121713625259545,5.189739216881072,11.563962328427802,222.0
523,2022-07-21,96.16677721124405,64.35239012413122,22.737852865452613,19.104867504612226,5.163477820649716,11.763933814772319,225.0
524,2022-07-22,98.21981162012851,62.3835444529265,20.853308764305492,18.953302950910953,5.141052106410367,11.658587002987685,227.0
525,2022-07-23,96.4063318681623,60.56168606578993,19.3758831338994,18.823532920056433,5.121851141820889,11.568528647028002,222.0
526,2022-07-24,94.03686451107814,58.45737548102665,18.24326424794515,18.712171655393384,4.970150148588999,11.568528647028002,222.0
527,2022-07-25,94.70799863489985,57.05140784681556,16.866083326459417,18.481974515005305,4.97416338547146,10.870204893662324,216.0
528,2022-07-26,94.20946761458535,56.241857552279484,15.813767859550081,18.41749652567481,4.977619777675179,10.142794001105111,214.0
529,2022-07-27,95.25167596458512,53.545598601837305,14.639755029104322,18.361885090744895,4.980600871411513,9.536107864939211,218.0
530,2022-07-28,92.55410918051206,50.68640826249799,13.493223685511628,18.181157287971477,4.983175216273335,9.026920372237761,209.0
531,2022-07-29,88.1013396572798,49.80197272409681,12.502067736834912,18.157194954648073,4.9854006916063485,8.59730384449622,194.0
532,2022-07-30,86.50065144995166,48.90478489208223,12.040141074111295,18.136460763805953,4.9873263567594694,9.494847066734954,194.0
533,2022-07-31,85.90701047536636,48.390999025951785,11.50854524017419,18.11850545674998,4.988993936139541,8.732747351415327,186.0
534,2022-08-01,84.34030350963434,48.60225921982559,11.573072751043114,17.840347841724007,4.990439021147281,8.494627710584844,181.0
535,2022-08-02,81.66964231538658,50.88234778334403,11.7600809690887,18.12338448708398,4.99169205042357,8.29085604830744,179.0
536,2022-08-03,80.79554174346629,52.20620513145486,11.398934589072427,18.238086382681,4.7310865166751,7.709858727874023,171.0
537,2022-08-04,81.86906474243833,51.65660647045812,10.954816948446666,18.337640895784087,5.158215108183679,7.210503768229449,173.0
538,2022-08-05,79.66488898187465,52.87596886070643,12.265766591902862,18.163071667289103,5.137567197776988,6.914490480728017,166.0
539,2022-08-06,79.83912804792286,53.413609112766736,13.404428084135745,18.011444746142082,5.119632885355157,6.925890369038457,166.0
540,2022-08-07,78.686791687899,54.010977606798825,17.12894571714347,18.009954090213363,5.1040509346842216,6.935732389892902,162.0
541,2022-08-08,79.76957090407929,54.399981295252346,19.45475834685045,17.748370384285398,5.220653437185396,6.8118792376057495,166.0
542,2022-08-09,80.05984813556499,54.21790844476541,20.17593794964354,17.781095765371173,5.191956625010241,6.704731054626198,167.0
543,2022-08-10,79.14168824413908,52.75985827265209,19.243243801347603,17.809547892481003,5.167007019518666,6.611958160481427,164.0
544,2022-08-11,76.78371823600122,52.79105434512852,19.08173782668404,18.353916624641364,5.145311651776606,6.5315744911563955,157.0
545,2022-08-12,76.68190781279236,51.260015203052674,20.49944707146411,17.918418875137192,5.126443294447441,6.46188239815036,156.0
546,2022-08-13,74.12626093253154,50.18789951903315,21.21339600745195,17.53962022021258,5.110031479724985,6.139650703449664,152.0
547,2022-08-14,71.77354751001684,50.18789951903315,21.21339600745195,17.53962022021258,5.110031479724985,6.139650703449664,152.0
3514,2022-08-15,71.77354751001684,47.8208490183024,19.866181465674735,16.87582129418469,5.093942297254182,5.971810981065757,150.0
548,2022-08-16,67.41995670231177,46.1208790217429,19.88542606417898,16.893679577779274,5.080432346615819,5.831195767214756,148.0
549,2022-08-17,63.90809442854983,45.11131621774127,21.177645015214527,17.192303209088006,5.2108040740091965,5.712732648497018,146.0
550,2022-08-18,62.64514911489713,44.95567766949814,21.99305908253551,17.445469049476035,5.041232366804739,5.753146091057744,147.0
551,2022-08-19,61.15430831942879,45.93187968745555,22.13260093049105,17.38373595938828,5.03551838641151,5.787488313260862,147.0
552,2022-08-20,61.13292427625948,48.96240890050392,22.526369702934936,17.33103899115749,5.030640784418396,5.816769702113357,148.0
553,2022-08-21,63.586540359808005,50.73881842127346,23.13591477851386,17.558439758927815,5.026465888860663,5.841807729602809,148.0
554,2022-08-22,63.91538122083146,50.90949685800249,23.52351763959876,17.888861398567318,5.022884202754883,5.727598632643447,147.0
555,2022-08-23,63.250172025859015,50.51805111168389,22.780379705357753,18.172895465539014,5.019805346078455,5.764327145909485,147.0
556,2022-08-24,64.02375791111287,52.05501547044182,26.29011679659658,18.551329383875913,5.017154218527584,5.79593333485738,147.0
557,2022-08-25,67.50091659326952,53.646941406307995,26.917809968391392,18.34458139896624,5.014868050193415,5.6896855897408924,146.0
558,2022-08-26,67.56743018459052,55.68527583360114,27.19424997542284,18.29883337265399,5.012894107451579,5.597991006773505,145.0
559,2022-08-27,68.288680221894,59.29970908106108,27.300871212387626,18.259290111261663,5.0111878888426915,5.518764774083758,144.0
560,2022-08-28,69.17675865140866,62.42686705477233,28.976470131539884,18.62091574748322,5.009711691950294,5.45024317494283,143.0
561,2022-08-29,70.20900385241441,63.5552404066646,30.822210481553267,19.197279371819832,5.00843346443784,5.522667436169109,144.0
562,2022-08-30,72.81384304049318,64.79564584329158,31.896221363252184,19.302702810230052,5.007325875087902,5.585406989121652,145.0
563,2022-08-31,74.4142834958361,65.34677696929042,34.40045545925568,19.39410856983775,5.006365556894992,5.639792053322458,148.0
